Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,189,7,Some Random Commen with Id 0
1,1,8,186,1,Some Random Commen with Id 1
2,1,8,17,8,Some Random Commen with Id 2
3,2,8,95,0,Some Random Commen with Id 3
4,2,8,105,9,Some Random Commen with Id 4
5,2,8,195,1,Some Random Commen with Id 5
6,2,8,64,7,Some Random Commen with Id 6
7,3,2,133,3,Some Random Commen with Id 7
8,3,2,163,2,Some Random Commen with Id 8
9,3,2,112,1,Some Random Commen with Id 9
10,4,3,46,8,Some Random Commen with Id 10
11,4,3,113,3,Some Random Commen with Id 11
12,6,7,71,7,Some Random Commen with Id 12
13,6,7,45,3,Some Random Commen with Id 13
14,6,7,74,7,Some Random Commen with Id 14
15,6,7,134,9,Some Random Commen with Id 15
16,6,7,58,9,Some Random Commen with Id 16
17,6,7,185,0,Some Random Commen with Id 17
18,7,3,55,2,Some Random Commen with Id 18
19,7,3,6,7,Some Random Commen with Id 19
20,7,3,178,4,Some Random Commen with Id 20
21,7,3,14,3,Some Random Commen with Id 21
22,7,3,117,6,Some Random Commen with Id 22
23,7,3,28,2,Some Random Commen with Id 23
24,8,5,128,7,Some Random Commen with Id 24
25,8,5,158,0,Some Random Commen with Id 25
26,8,5,37,3,Some Random Commen with Id 26
27,8,5,56,5,Some Random Commen with Id 27
28,8,5,84,0,Some Random Commen with Id 28
29,8,5,172,8,Some Random Commen with Id 29
30,9,9,119,1,Some Random Commen with Id 30
31,9,9,33,9,Some Random Commen with Id 31
32,9,9,115,6,Some Random Commen with Id 32
33,9,9,187,8,Some Random Commen with Id 33
34,11,8,88,0,Some Random Commen with Id 34
35,11,8,174,9,Some Random Commen with Id 35
36,11,8,22,5,Some Random Commen with Id 36
37,11,8,152,9,Some Random Commen with Id 37
38,12,1,169,1,Some Random Commen with Id 38
39,13,9,168,3,Some Random Commen with Id 39
40,13,9,13,6,Some Random Commen with Id 40
41,13,9,47,6,Some Random Commen with Id 41
42,13,9,169,4,Some Random Commen with Id 42
43,14,9,10,5,Some Random Commen with Id 43
44,14,9,183,7,Some Random Commen with Id 44
45,14,9,118,1,Some Random Commen with Id 45
46,14,9,118,2,Some Random Commen with Id 46
47,14,9,24,1,Some Random Commen with Id 47
48,14,9,88,7,Some Random Commen with Id 48
49,14,9,179,8,Some Random Commen with Id 49
50,14,9,118,1,Some Random Commen with Id 50
51,14,9,126,2,Some Random Commen with Id 51
52,16,7,121,1,Some Random Commen with Id 52
53,16,7,181,2,Some Random Commen with Id 53
54,16,7,115,6,Some Random Commen with Id 54
55,16,7,90,3,Some Random Commen with Id 55
56,16,7,157,2,Some Random Commen with Id 56
57,16,7,130,4,Some Random Commen with Id 57
58,16,7,102,3,Some Random Commen with Id 58
59,16,7,106,7,Some Random Commen with Id 59
60,17,2,17,8,Some Random Commen with Id 60
61,17,2,55,7,Some Random Commen with Id 61
62,17,2,105,7,Some Random Commen with Id 62
63,17,2,60,5,Some Random Commen with Id 63
64,18,9,96,7,Some Random Commen with Id 64
65,18,9,95,0,Some Random Commen with Id 65
66,18,9,36,4,Some Random Commen with Id 66
67,18,9,89,9,Some Random Commen with Id 67
68,19,5,118,8,Some Random Commen with Id 68
69,20,7,69,5,Some Random Commen with Id 69
70,20,7,36,5,Some Random Commen with Id 70
71,20,7,91,3,Some Random Commen with Id 71
72,20,7,46,6,Some Random Commen with Id 72
73,21,7,85,5,Some Random Commen with Id 73
74,22,9,47,9,Some Random Commen with Id 74
75,22,9,102,6,Some Random Commen with Id 75
76,22,9,195,7,Some Random Commen with Id 76
